Nama Produk,Deskripsi Produk
Avoskin hydrating essence,Rias Wajah
fenty beauty 130 portable makeup touch up brush,"kondisi brushnya masih bagus bgtt tinggal di cuci aja, kalau ambil sama powdernya jadi 450k aja yaa dapat semua"
Takeall lipstik venus & sariayu #diskon50,New smua ya Nett   Etude laneige innisfree laneige innisfree holika sariayu venus loreal wadah revlon pixy the body Shop maybelline garnier
NEW L’Oreal True Match Concealer W4-5 Light/Medium,"NEW AND SEALED NEVER BEEN USED L’Oreal True Match Concealer W4-5 Light/Medium  Harga counter 145,000  Dijual karena belinya ke-double.   /tag/ colourpop revlon maybelline goban nyx nars shu uemura make over make up forever cartice wardah emina the balm loreal mizzu pixy rollover reaction benefit etu"
Chanel CC Cream 20 Beige,Like new! Ga dipakai bosenan :) Bagus nih untuk masa2 pandemi karena SPF tinggi Beli di counter chanel 1.2 yaa 😉 Good deal Daripada beli yg baru
Urban decay perversion MASCARA,Rias Wajah
kiko milano clear lip gloss 01,"like new! baru beberapa kali aja dipakai, no box ya"
Maybelline Super Stay Matte Ink versatile,ORI beli di watson sency baru dipakai 2-3 kali aja karna warna gacocok stay banget aplicator lembut wangi nya enak cocok buat base bibir pigmented shade 210
Pixy Bb Cushion,Rias Wajah
fenty beauty invisimatte translucent blotting powder universal,"kondisi 90% like new hanya puff kotor, kalau ambil sama yg portable touch up brush total semuanya jadi 450 yaah"
Pony Effect Seoul Coverstay Cushion Foundation Refill,Pony Effect Seoul Coverstay Cushion Foundation SPF 50+ / PA+++ Refill (Natural Ivory). Cocok untuk kulit sensitif dan berminyak (karna kulit saya seperti itu). Tetep stay di kulit untuk waktu lama. Hasil matte tidak glowing. Alasan jual : Kulit tanning setelah liburan jadi keputihan :( Harga beli : 
(2pcs) Wardah Lip Mousse 04 & Maybelline Lip Ink Matte 210,"Wardah Lip Mousse 04 sisa -+70% Maybelline Lip Ink Matte 210 sisa -+50% Alasan dijual, karna kedunya masuk jadi daftar lippen lippen ku yang udah ga pernah dipake tapi isinya masih banyak. Ambil 2 Lipstik jadi 50rb nett Wardah aja 30rb Maybelline aja 30rb"
✨ Fenty beauty ✨ Vivid liquid eyeliner eye liner bobbi brown becca abh sephora marc jacobs  sociolla mac urban decay beauty blender ysl nyx lancome dior kat von d the balm benefit maybelline lakme blp 3ce lime crime kylie jenner,"FENTY BEAUTY VIVID LIQUID EYELINER Prelove like new 1x swatch Original only ✨💁🏻‍♀️💸 Shade = techno beet Ex = 2022/7 Handcarry from USA, di indo susah cari hampir gak ada yg jual yah. Kalo ada pun satunya 200-250rebuan Grab it fast girls 💁🏻‍♀️✨  Note = botol emang motif printnya percikkan gradasi yah"
Maybelline Super Stay Matte Ink,ini bru ya sis no 220
Urban Decay All Nighter Mini,Masih new blm dbuka blm dicoba krn udh cocok am merk local 🙌🏻 cocok buat yg mau coba sblm beli yg full size. djual murah no box. new 100% full isinya    bs req by shopee
Maybelline master chrome highlighter shade molten gold,NEW! MAYBELLINE HIGHLIGHTER CHROME SHADE MOLTEN GOLD BARU BGT BELI DIBUKA CMN SWATCH TERNYATA WARNANY TDK COCOK.
Maybelline (mix set),"[ORIGINAL dapat 3pcs] Kondisi eyeshadow masih 97% penuh + dapat eye brush  Lipstick 80% (warna peach & nude coklat)  Warna soft cocok untuk sehari"" bisa liat swatches di foto  Dipakai : 3-4x  Dijual : karena gak kepakai lagi"
Bb Cushion,- isi masih 99%  - baru dipake 1kali itupun hanya sedikit trial dimuka dan tdk cocok  - free tempat cushionnya (brand emina)  - shade natural beige (15gram) 
Maybelline Super Stay Matte Ink  Coffee Edt (260 Hazelnut Hypnotizer),condition 99% NO NEGO!!
Maybelline Master Flush Creation Nude to nude,100% ORI. Condition 95%. Jarang dipakai.
Maybelline FIT ME Matte + Poreless,"Maybelline FIT ME Matte+Poreless untuk kulit Normal to Oily Shade : ""110"" PORCELAIN POWDER Shade Paling terang yaaa.. Berminat langsung chat via whatsapp : 0856.823.4454 Cuma bisa COD RS DUREN SAWIT, JAKARTA TIMUR TIDAK ADA OPSI PENGIRIMAN"
mascara maybelline,baru 1 kali pemakaian exp 2022
