Username,Review
xolovealsie,sudah sampaii barangnya baguss sellernya ramah dan baik bgt🥰
cccelin,"barang sesuai, packing rapi, dan dikasih bonus pulaa makasi banyak kakk!!"
nazlapanda,"Good condition bgt barangnya, sellernya komunikatif dan ramah! suka bgttt huhu makasih ya sisss, recomended seller✨"
miraclestuff,"packing rapih, barang bagus, harga murah, respon cepat makasih ka"
lilnchicgurl,"Harga affordable tapi barangnya bagus, packingnya rapih,  makasih seller☺️"
rita1901,good seller and good product
nd.ashop30,"Recommended Seller. Seller nya cepat responnya, ramah, dan barangnya murah dan sesuai yg diinfokan👍 Kali2 mampir ke Toko saya yah kak😊"
dina_dina,trusted seller
stuffloved.co,"great seller, ramah dan baik bgt, ga lama tf langsung dikirim, thanks!"
prelovedbyally,"Yey barangnya cepet nyampe, responnya oke banget, terus barangnya juga bagusss. Senang deh!"
eazypizy_,👍💯
preloved.divya,thank u sissss
aliyahabsyi,barangnya masi bagus bgt sesuai deskripsi!
salilane,"komunikatif, pengiriman cepat, barang oke. sukses selalu kak 👍🏻"
khanliaaaaa,"good semualah .
suka aku😉"
khanliaaaaa,"thank you kaaaa 
good banget pelayanannya,pengirimannya dan barang nya.... sukses ya ka tokonya InSyaAllah akan langganan 😊"
tintinpermana,packaging nya super cepaaaaaaat. hanya 2jam dr tf lgsung kirim looh.. ramah lg.. aku gak itung isinya. tp kayaknya emg masih penuh    thankyou kk. sering2 harganya tiarap ya kak pl nya
devinatalia20,"seller fast respon, dikasih gratis ongkir jg hehe makasihh barang original"
the_goodthings,"Barang sesuai deskripsi, pengiriman cepat, seller ramah "
dhippydhippo,"packaging rapi, dapet freebies pula. thank you so much!!"
